月份,阶段,职业/求职,认证/学习,运动/健康,财务/阅读,里程碑
8月,空窗期,投递面试·目标17-20K·每周练话术健身房2题+AI模拟器2场景,巨量学初级营销师·每天2小时刷课,每周4次快走+靠墙站+弹力带+平板支撑·每次30-40分钟·不追求酸痛·水1500ml/天·睡前3行字,不碰赔偿金·面试薪资让对方先报价·恢复看小说每周2小时·读完《清单革命》《金字塔原理》前3章,报名自考/成考本科
9月,空窗期→入职,入职新工作·确认试用期评估标准·薪资保底15K争取17-18K,继续备考·看完《监控资本主义》《美国工厂》,维持运动每周3-4次·蛋白质每日加2个鸡蛋,月存10-13K·花销上限5K·看完一本小说,收入恢复
10月,试用期,稳定产出·第一次主动提交一页产出总结·试用期谈薪准备,千川高级认证备考·每周1次,每周用公司数据自己写复盘·对照数据诊断训练框架,维持运动每周3次·睡前看小说代替刷手机,维持1,500ml水+蛋白质·读完《谈判力》前4章,第一次主动提交产出总结
11月,试用期→转正,转正评估·争取调薪到18K·谈判话术练习,读完《抽象：设计的艺术》选2集·持续认证备考,每周运动3次·下班后做·维持睡眠+饮食,转正后薪资调整·月存调整,争取调薪到18K
12月,稳定期,年终总结·评估团队/品类/成长空间,千川高级认证最后冲刺,运动可加慢跑·前提不痛·维持水分+蛋白质+睡前不饿,全年财务盘点·目标存款破20万·读完《故事力》重点章节,年终盘点
1月,稳定期,第二年规划·职业方向确认,千川高级认证考试·拿证,如果连续2个月每周动3次以上→加游泳每周1次,开始读《原则》跳读·《沃顿谈判课》第1、6章,拿证
2月,稳定期,评估：继续还是看新机会·如果薪资不达预期→开始看机会,看《纽约灾星》·学习叙事节奏,维持运动+健康习惯,持续阅读+小说,职业方向确认
3月,稳定期,维持节奏·做内容号尝试,看《克拉克森的农场》·放松看,维持运动·关注体态变化（靠墙站+划船效果）,尝试写个人原则（不看模版）,—
4月,稳定期,职业评估节点·如果薪资未达预期开始投递,看《隐形亿万富翁》·放松看,维持运动·如果体态达标可减少频率,产出个人方法论文档·评估副业可能性,年终半程
5月,稳定期,维持或面试（取决于4月评估）,跟进行业动态·扩大社交圈,维持每周至少动2次底线,读完《沃顿谈判课》,—
6月,稳定期,半年复盘：职业+财务+健康,看一部新纪录片（自选）,维持运动底线,半年财务盘点·存款对比目标,年中调整
7月,稳定期,全年节点·如果一直未达预期薪资→必须开始看机会,整理全年学习笔记,维持运动底线,评估存款进度·调整下半年策略,全年节点
